COUNTRY,Country ,FIELD,Field,ISC11_LEVEL_CAT,Level of education,Value
CRI,Costa Rica,F4,"Science, mathematics and computing",L5T8,Total tertiary education (ISCED2011 levels 5 to 8),33.5
CRI,Costa Rica,F5,"Engineering, manufacturing and construction",L5T8,Total tertiary education (ISCED2011 levels 5 to 8),34.4
CRI,Costa Rica,F6,Agriculture and veterinary,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),43
CRI,Costa Rica,F7,Health and Welfare,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),76.9
CRI,Costa Rica,F8,Services,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),59.7
CRI,Costa Rica,F8,total,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),55.025
CZE,Czech Republic,F1,Education,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),83.7
CZE,Czech Republic,F2,Humanities and arts,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),70.5
CZE,Czech Republic,F3,"Social sciences, business and law",L5T8,Total tertiary education (ISCED2011 levels 5 to 8),67.1
CZE,Czech Republic,F4,"Science, mathematics and computing",L5T8,Total tertiary education (ISCED2011 levels 5 to 8),38.6
CZE,Czech Republic,F5,"Engineering, manufacturing and construction",L5T8,Total tertiary education (ISCED2011 levels 5 to 8),28.1
CZE,Czech Republic,F6,Agriculture and veterinary,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),59.3
CZE,Czech Republic,F7,Health and Welfare,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),82.6
CZE,Czech Republic,F8,Services,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),51.6
CZE,Czech Republic,F8,total,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),60.1875
DEU,Germany,F1,Education,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),76.8
DEU,Germany,F2,Humanities and arts,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),70.1
DEU,Germany,F3,"Social sciences, business and law",L5T8,Total tertiary education (ISCED2011 levels 5 to 8),56
DEU,Germany,F4,"Science, mathematics and computing",L5T8,Total tertiary education (ISCED2011 levels 5 to 8),38.3
DEU,Germany,F5,"Engineering, manufacturing and construction",L5T8,Total tertiary education (ISCED2011 levels 5 to 8),19.3
DEU,Germany,F6,Agriculture and veterinary,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),41.5
DEU,Germany,F7,Health and Welfare,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),70
DEU,Germany,F8,Services,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),49.3
DEU,Germany,F8,total,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),52.6625
DNK,Denmark,F1,Education,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),70.4
DNK,Denmark,F2,Humanities and arts,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),67.8
DNK,Denmark,F3,"Social sciences, business and law",L5T8,Total tertiary education (ISCED2011 levels 5 to 8),55.3
DNK,Denmark,F4,"Science, mathematics and computing",L5T8,Total tertiary education (ISCED2011 levels 5 to 8),35.9
DNK,Denmark,F5,"Engineering, manufacturing and construction",L5T8,Total tertiary education (ISCED2011 levels 5 to 8),36.1
DNK,Denmark,F6,Agriculture and veterinary,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),68.6
DNK,Denmark,F7,Health and Welfare,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),78.8
DNK,Denmark,F8,Services,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),28.1
DNK,Denmark,F8,total,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),55.125
ESP,Spain,F1,Education,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),78.4
ESP,Spain,F2,Humanities and arts,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),59.4
ESP,Spain,F3,"Social sciences, business and law",L5T8,Total tertiary education (ISCED2011 levels 5 to 8),59.5
ESP,Spain,F4,"Science, mathematics and computing",L5T8,Total tertiary education (ISCED2011 levels 5 to 8),35.4
ESP,Spain,F5,"Engineering, manufacturing and construction",L5T8,Total tertiary education (ISCED2011 levels 5 to 8),25.3
ESP,Spain,F6,Agriculture and veterinary,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),45.3
ESP,Spain,F7,Health and Welfare,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),73.9
ESP,Spain,F8,Services,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),44.8
ESP,Spain,F8,total,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),52.75
EST,Estonia,F1,Education,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),92.4
EST,Estonia,F2,Humanities and arts,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),74.4
EST,Estonia,F3,"Social sciences, business and law",L5T8,Total tertiary education (ISCED2011 levels 5 to 8),74.2
EST,Estonia,F4,"Science, mathematics and computing",L5T8,Total tertiary education (ISCED2011 levels 5 to 8),46
EST,Estonia,F5,"Engineering, manufacturing and construction",L5T8,Total tertiary education (ISCED2011 levels 5 to 8),32.3
EST,Estonia,F6,Agriculture and veterinary,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),58.3
EST,Estonia,F7,Health and Welfare,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),89.5
EST,Estonia,F8,Services,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),47.9
EST,Estonia,F8,total,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),64.375
FIN,Finland,F1,Education,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),82.4
FIN,Finland,F2,Humanities and arts,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),73.6
FIN,Finland,F3,"Social sciences, business and law",L5T8,Total tertiary education (ISCED2011 levels 5 to 8),64.3
FIN,Finland,F4,"Science, mathematics and computing",L5T8,Total tertiary education (ISCED2011 levels 5 to 8),42.6
FIN,Finland,F5,"Engineering, manufacturing and construction",L5T8,Total tertiary education (ISCED2011 levels 5 to 8),21.5
FIN,Finland,F6,Agriculture and veterinary,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),59.6
FIN,Finland,F7,Health and Welfare,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),84.8
FIN,Finland,F8,Services,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),65.8
FIN,Finland,F8,total,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),61.825
FRA,France,F1,Education,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),75.4
FRA,France,F2,Humanities and arts,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),69.5
FRA,France,F3,"Social sciences, business and law",L5T8,Total tertiary education (ISCED2011 levels 5 to 8),60.6
FRA,France,F4,"Science, mathematics and computing",L5T8,Total tertiary education (ISCED2011 levels 5 to 8),38.2
FRA,France,F5,"Engineering, manufacturing and construction",L5T8,Total tertiary education (ISCED2011 levels 5 to 8),25.6
FRA,France,F6,Agriculture and veterinary,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),42.6
FRA,France,F7,Health and Welfare,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),74.1
FRA,France,F8,Services,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),52.4
FRA,France,F8,total,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),54.8
GBR,United Kingdom,F1,Education,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),76.7
GBR,United Kingdom,F2,Humanities and arts,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),62.8
GBR,United Kingdom,F3,"Social sciences, business and law",L5T8,Total tertiary education (ISCED2011 levels 5 to 8),53.2
GBR,United Kingdom,F4,"Science, mathematics and computing",L5T8,Total tertiary education (ISCED2011 levels 5 to 8),46.1
GBR,United Kingdom,F5,"Engineering, manufacturing and construction",L5T8,Total tertiary education (ISCED2011 levels 5 to 8),22.4
GBR,United Kingdom,F6,Agriculture and veterinary,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),64.8
GBR,United Kingdom,F7,Health and Welfare,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),77.1
GBR,United Kingdom,F8,Services,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),62.1
GBR,United Kingdom,F8,total,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),58.15
GRC,Greece,F1,Education,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),76.4
GRC,Greece,F2,Humanities and arts,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),73.3
GRC,Greece,F3,"Social sciences, business and law",L5T8,Total tertiary education (ISCED2011 levels 5 to 8),61.5
GRC,Greece,F4,"Science, mathematics and computing",L5T8,Total tertiary education (ISCED2011 levels 5 to 8),46.2
GRC,Greece,F5,"Engineering, manufacturing and construction",L5T8,Total tertiary education (ISCED2011 levels 5 to 8),31.8
GRC,Greece,F6,Agriculture and veterinary,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),51.3
GRC,Greece,F7,Health and Welfare,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),72.3
GRC,Greece,F8,Services,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),50.2
GRC,Greece,F8,total,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),57.875
HUN,Hungary,F1,Education,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),83.8
HUN,Hungary,F2,Humanities and arts,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),67.2
HUN,Hungary,F3,"Social sciences, business and law",L5T8,Total tertiary education (ISCED2011 levels 5 to 8),68.9
HUN,Hungary,F4,"Science, mathematics and computing",L5T8,Total tertiary education (ISCED2011 levels 5 to 8),37
HUN,Hungary,F5,"Engineering, manufacturing and construction",L5T8,Total tertiary education (ISCED2011 levels 5 to 8),25
HUN,Hungary,F6,Agriculture and veterinary,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),46.7
HUN,Hungary,F7,Health and Welfare,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),76.7
HUN,Hungary,F8,Services,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),61
HUN,Hungary,F8,total,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),58.2875
IDN,Indonesia,F1,Education,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),62.4
IDN,Indonesia,F2,Humanities and arts,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),56.5
IDN,Indonesia,F3,"Social sciences, business and law",L5T8,Total tertiary education (ISCED2011 levels 5 to 8),47.9
IDN,Indonesia,F4,"Science, mathematics and computing",L5T8,Total tertiary education (ISCED2011 levels 5 to 8),38.9
IDN,Indonesia,F5,"Engineering, manufacturing and construction",L5T8,Total tertiary education (ISCED2011 levels 5 to 8),34.7
IDN,Indonesia,F6,Agriculture and veterinary,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),38.1
IDN,Indonesia,F7,Health and Welfare,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),71.6
IDN,Indonesia,F8,Services,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),35.9
IDN,Indonesia,F8,total,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),48.25
IRL,Ireland,F1,Education,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),71.4
IRL,Ireland,F2,Humanities and arts,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),60.3
IRL,Ireland,F3,"Social sciences, business and law",L5T8,Total tertiary education (ISCED2011 levels 5 to 8),53.5
IRL,Ireland,F4,"Science, mathematics and computing",L5T8,Total tertiary education (ISCED2011 levels 5 to 8),36.5
IRL,Ireland,F5,"Engineering, manufacturing and construction",L5T8,Total tertiary education (ISCED2011 levels 5 to 8),15
IRL,Ireland,F6,Agriculture and veterinary,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),22.8
IRL,Ireland,F7,Health and Welfare,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),76
IRL,Ireland,F8,Services,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),36.5
IRL,Ireland,F8,total,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),46.5
ITA,Italy,F1,Education,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),89.9
ITA,Italy,F2,Humanities and arts,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),72.1
ITA,Italy,F3,"Social sciences, business and law",L5T8,Total tertiary education (ISCED2011 levels 5 to 8),58.7
ITA,Italy,F4,"Science, mathematics and computing",L5T8,Total tertiary education (ISCED2011 levels 5 to 8),53.1
ITA,Italy,F5,"Engineering, manufacturing and construction",L5T8,Total tertiary education (ISCED2011 levels 5 to 8),34
ITA,Italy,F6,Agriculture and veterinary,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),49.2
ITA,Italy,F7,Health and Welfare,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),68.2
ITA,Italy,F8,Services,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),47.4
ITA,Italy,F8,total,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),59.075
JPN,Japan,F1,Education,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),71.6
JPN,Japan,F2,Humanities and arts,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),68.8
JPN,Japan,F3,"Social sciences, business and law",L5T8,Total tertiary education (ISCED2011 levels 5 to 8),39.2
JPN,Japan,F4,"Science, mathematics and computing",L5T8,Total tertiary education (ISCED2011 levels 5 to 8),25.2
JPN,Japan,F5,"Engineering, manufacturing and construction",L5T8,Total tertiary education (ISCED2011 levels 5 to 8),12.7
JPN,Japan,F6,Agriculture and veterinary,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),39.6
JPN,Japan,F7,Health and Welfare,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),63.6
JPN,Japan,F8,Services,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),76.4
JPN,Japan,F8,total,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),49.6375
KOR,Korea,F1,Education,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),76.9
KOR,Korea,F2,Humanities and arts,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),67.9
KOR,Korea,F3,"Social sciences, business and law",L5T8,Total tertiary education (ISCED2011 levels 5 to 8),49.8
KOR,Korea,F4,"Science, mathematics and computing",L5T8,Total tertiary education (ISCED2011 levels 5 to 8),39.3
KOR,Korea,F5,"Engineering, manufacturing and construction",L5T8,Total tertiary education (ISCED2011 levels 5 to 8),24.4
KOR,Korea,F6,Agriculture and veterinary,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),41
KOR,Korea,F7,Health and Welfare,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),72.4
KOR,Korea,F8,Services,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),48.8
KOR,Korea,F8,total,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),52.5625
LTU,Lithuania,F1,Education,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),80.4
LTU,Lithuania,F2,Humanities and arts,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),73.1
LTU,Lithuania,F3,"Social sciences, business and law",L5T8,Total tertiary education (ISCED2011 levels 5 to 8),71.6
LTU,Lithuania,F4,"Science, mathematics and computing",L5T8,Total tertiary education (ISCED2011 levels 5 to 8),45
LTU,Lithuania,F5,"Engineering, manufacturing and construction",L5T8,Total tertiary education (ISCED2011 levels 5 to 8),22.7
LTU,Lithuania,F6,Agriculture and veterinary,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),49.9
LTU,Lithuania,F7,Health and Welfare,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),82.5
LTU,Lithuania,F8,Services,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),48
LTU,Lithuania,F8,total,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),59.15
LUX,Luxembourg,F1,Education,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),62
LUX,Luxembourg,F2,Humanities and arts,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),66.7
LUX,Luxembourg,F3,"Social sciences, business and law",L5T8,Total tertiary education (ISCED2011 levels 5 to 8),54
LUX,Luxembourg,F4,"Science, mathematics and computing",L5T8,Total tertiary education (ISCED2011 levels 5 to 8),29.2
LUX,Luxembourg,F5,"Engineering, manufacturing and construction",L5T8,Total tertiary education (ISCED2011 levels 5 to 8),25.2
LUX,Luxembourg,F7,Health and Welfare,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),78.8
LUX,Luxembourg,F7,total,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),52.65
LVA,Latvia,F1,Education,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),90.6
LVA,Latvia,F2,Humanities and arts,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),79.3
LVA,Latvia,F3,"Social sciences, business and law",L5T8,Total tertiary education (ISCED2011 levels 5 to 8),70.5
LVA,Latvia,F4,"Science, mathematics and computing",L5T8,Total tertiary education (ISCED2011 levels 5 to 8),38.6
LVA,Latvia,F5,"Engineering, manufacturing and construction",L5T8,Total tertiary education (ISCED2011 levels 5 to 8),28.1
LVA,Latvia,F6,Agriculture and veterinary,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),38.9
LVA,Latvia,F7,Health and Welfare,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),87.8
LVA,Latvia,F8,Services,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),54.7
LVA,Latvia,F8,total,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),61.0625
MEX,Mexico,F1,Education,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),72
MEX,Mexico,F2,Humanities and arts,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),58.4
MEX,Mexico,F3,"Social sciences, business and law",L5T8,Total tertiary education (ISCED2011 levels 5 to 8),58.9
MEX,Mexico,F4,"Science, mathematics and computing",L5T8,Total tertiary education (ISCED2011 levels 5 to 8),46.2
MEX,Mexico,F5,"Engineering, manufacturing and construction",L5T8,Total tertiary education (ISCED2011 levels 5 to 8),27.9
MEX,Mexico,F6,Agriculture and veterinary,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),36.3
MEX,Mexico,F7,Health and Welfare,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),66.3
MEX,Mexico,F8,Services,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),28.7
MEX,Mexico,F8,total,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),49.3375
NLD,Netherlands,F1,Education,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),78.8
NLD,Netherlands,F2,Humanities and arts,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),57.6
NLD,Netherlands,F3,"Social sciences, business and law",L5T8,Total tertiary education (ISCED2011 levels 5 to 8),53.8
NLD,Netherlands,F4,"Science, mathematics and computing",L5T8,Total tertiary education (ISCED2011 levels 5 to 8),27.4
NLD,Netherlands,F5,"Engineering, manufacturing and construction",L5T8,Total tertiary education (ISCED2011 levels 5 to 8),23.1
NLD,Netherlands,F6,Agriculture and veterinary,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),54.6
NLD,Netherlands,F7,Health and Welfare,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),74.3
NLD,Netherlands,F8,Services,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),54.3
NLD,Netherlands,F8,total,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),52.9875
NOR,Norway,F1,Education,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),74.4
NOR,Norway,F2,Humanities and arts,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),61.5
NOR,Norway,F3,"Social sciences, business and law",L5T8,Total tertiary education (ISCED2011 levels 5 to 8),58.7
NOR,Norway,F4,"Science, mathematics and computing",L5T8,Total tertiary education (ISCED2011 levels 5 to 8),33.1
NOR,Norway,F5,"Engineering, manufacturing and construction",L5T8,Total tertiary education (ISCED2011 levels 5 to 8),19.3
NOR,Norway,F6,Agriculture and veterinary,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),61.1
NOR,Norway,F7,Health and Welfare,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),83
NOR,Norway,F8,Services,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),37.5
NOR,Norway,F8,total,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),53.575
NZL,New Zealand,F1,Education,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),81.5
NZL,New Zealand,F2,Humanities and arts,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),64.1
NZL,New Zealand,F3,"Social sciences, business and law",L5T8,Total tertiary education (ISCED2011 levels 5 to 8),56.3
NZL,New Zealand,F4,"Science, mathematics and computing",L5T8,Total tertiary education (ISCED2011 levels 5 to 8),38.6
NZL,New Zealand,F5,"Engineering, manufacturing and construction",L5T8,Total tertiary education (ISCED2011 levels 5 to 8),25.8
NZL,New Zealand,F6,Agriculture and veterinary,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),65.6
NZL,New Zealand,F7,Health and Welfare,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),79.1
NZL,New Zealand,F8,Services,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),51.8
NZL,New Zealand,F8,total,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),57.85
POL,Poland,F1,Education,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),85.3
POL,Poland,F2,Humanities and arts,L5T8,Total tertiary education (ISCED2011 levels 5 to 8),75.7
POL,Poland,F3,"Social sciences, business and law",L5T8,Total tertiary education (ISCED2011 levels 5 to 8),69.4
POL,Poland,F4,"Science, mathematics and computing",L5T8,Total tertiary education (ISCED2011 levels 5 to 8),47.7
